number,name,region,dong_id
469,nu pc,대구광역시 서구 비산동,3
470,와썹PC방,대구광역시 달성군 다사읍,8
471,런PC방,대구광역시 달서구 도원동,3
472,킹덤PC,대구광역시 서구 평리동,3
473,올레PC방,대구광역시 서구 내당동,3
474,디헬pc cafe,대구광역시 동구 율하동,2
475,배트맨PC(산격점),대구광역시 북구 산격동,5
476,아지트 게임 클럽,대구광역시 동구 신암동,2
477,지존PC,대구광역시 달서구 이곡동,3
478,더블유PC방,대구광역시 수성구 신매동,6
479,조이PC,대구광역시 동구 율하동,2
480,명당PC,대구광역시 달서구 본리동,3
481,지PC방,대구광역시 남구 대명동,4
482,링크PC방,대구광역시 북구 태전동,5
483,무드온PC방,대구광역시 달서구 신당동,3
484,카카오PC CLUB,대구광역시 수성구 두산동,6
485,아이파크PC,대구광역시 북구 동천동,5
486,포세이돈피씨방,대구광역시 동구 효목동,2
487,지존PC,대구광역시 남구 이천동,4
488,엔유(nu)PC 율하점,대구광역시 동구 율하동,2
489,로그온PC,대구광역시 동구 신천동,2
490,로얄PC,대구광역시 서구 내당동,3
491,비타민PC,대구광역시 동구 신서동,2
492,지산PC BOX,대구광역시 수성구 지산동,6
493,블루문PC,대구광역시 달서구 죽전동,3
494,숲길로피시방,대구광역시 서구 내당동,3
495,메가 PC방,대구광역시 북구 동천동,5
496,상주꿀갈비 피시,대구광역시 달서구 송현동,3
497,알피시방,대구광역시 북구 대현동,5
498,유피시방,대구광역시 동구 신서동,2
499,디스이즈PC,대구광역시 달서구 감삼동,3
500,클리프PC방,대구광역시 수성구 시지동,6
501,네옥스(NEOX)PC방,대구광역시 달서구 신당동,3
502,nuPC,대구광역시 서구 평리동,3
503,인투드림,대구광역시 수성구 신매동,6
504,조와 PC방,대구광역시 서구 원대동,3
505,더블유(W) PC방,대구광역시 동구 율하동,2
506,팽피씨방 도원점,대구광역시 달서구 도원동,3
507,루호피씨(두류점),대구광역시 남구 대명동,4
508,아라PC,대구광역시 남구 대명동,4
509,스타PC카페,대구광역시 중구 남산동,1
510,와써,대구광역시 달서구 본동,3
511,머드PC방,대구광역시 서구 비산동,3
512,문PC,대구광역시 남구 봉덕동,4
513,마이웨이PC방,대구광역시 동구 효목동,2
514,볼륨업PC방,대구광역시 달서구 월성동,3
515,센PC,대구광역시 북구 동천동,5
516,디원(D one)피씨방,대구광역시 동구 동호동,2
517,캐슬PC,대구광역시 달서구 감삼동,3
518,카카오PC방,대구광역시 북구 대현동,5
519,팽PC,대구광역시 북구 매천동,5
520,팽피시카페(복현점),대구광역시 북구 복현동,5
521,아이펀 PC방,대구광역시 달서구 상인동,3
522,앤유(NU)PC대명점,대구광역시 남구 대명동,4
523,이존피시,대구광역시 동구 신기동,2
524,머드pc방,대구광역시 서구 비산동,3
525,뉴 Z  PC방,대구광역시 남구 대명동,4
526,쿡몬스터피시방내당점,대구광역시 서구 내당동,3
527,앤유(nu)PC상동점,대구광역시 수성구 상동,6
528,고트PC,대구광역시 남구 대명동,4
